day,trend_following,cross_sectional_momentum,mean_reversion,volatility_breakout,defensive_cash
365,0.0005334960423666105,0.0003586018774681653,0.35285744593903695,0.645941326923077,0.0003091292180512861
366,0.0005334960423666105,0.0003586018774681653,0.35285744593903695,0.645941326923077,0.0003091292180512861
367,0.0005334960423666105,0.0003586018774681653,0.35285744593903695,0.645941326923077,0.0003091292180512861
368,0.0005334960423666105,0.0003586018774681653,0.35285744593903695,0.645941326923077,0.0003091292180512861
369,0.0005334960423666105,0.0003586018774681653,0.35285744593903695,0.645941326923077,0.0003091292180512861
370,0.0005334960423666105,0.0003586018774681653,0.35285744593903695,0.645941326923077,0.0003091292180512861
371,0.0005334960423666105,0.0003586018774681653,0.35285744593903695,0.645941326923077,0.0003091292180512861
372,0.00028193202317686444,0.0002059057142409903,0.615995455400739,0.38298582392883523,0.0005308829330079618
373,0.00028193202317686444,0.0002059057142409903,0.615995455400739,0.38298582392883523,0.0005308829330079618
374,0.00028193202317686444,0.0002059057142409903,0.615995455400739,0.38298582392883523,0.0005308829330079618
375,0.00028193202317686444,0.0002059057142409903,0.615995455400739,0.38298582392883523,0.0005308829330079618
376,0.00028193202317686444,0.0002059057142409903,0.615995455400739,0.38298582392883523,0.0005308829330079618
377,0.00028193202317686444,0.0002059057142409903,0.615995455400739,0.38298582392883523,0.0005308829330079618
378,0.00028193202317686444,0.0002059057142409903,0.615995455400739,0.38298582392883523,0.0005308829330079618
379,0.0001122620729090133,0.00010937925120437619,0.8517675344082583,0.14769513495920858,0.0003156893084197797
380,0.0001122620729090133,0.00010937925120437619,0.8517675344082583,0.14769513495920858,0.0003156893084197797
381,0.0001122620729090133,0.00010937925120437619,0.8517675344082583,0.14769513495920858,0.0003156893084197797
382,0.0001122620729090133,0.00010937925120437619,0.8517675344082583,0.14769513495920858,0.0003156893084197797
383,0.0001122620729090133,0.00010937925120437619,0.8517675344082583,0.14769513495920858,0.0003156893084197797
384,0.0001122620729090133,0.00010937925120437619,0.8517675344082583,0.14769513495920858,0.0003156893084197797
