day,regime,trend_following,cross_sectional_momentum,mean_reversion,volatility_breakout,defensive_cash
0,bull,-0.05582038768743463,-0.049920307929481954,0.019880444213417826,0.03185838736899417,-0.010698380120718724
1,bull,-0.04134739638094433,-0.009094559542225199,0.014608519041995616,0.04779585823358111,-0.001436768965156818
2,bull,0.07656432817483279,0.06951359453804153,-0.028252556259811983,0.05080623582444898,0.011786076574388526
3,bull,-0.006454417848601586,-0.00039629156257267205,0.009278487484702117,0.01734883397877356,-0.000502439054084619
4,bull,0.005883811205108145,0.0027039941973902564,-0.015588560946072996,-0.009448162862927868,-0.0003653875640739746
5,bull,0.07956791098507818,0.07053673259304227,-0.04293302586523412,0.06398882303037158,0.018480176893453392
6,bull,0.04740918718474193,0.006354836000610802,-0.002872139865541457,0.0021714972416232922,0.014123814156365138
7,bull,0.019162512017902138,0.02733252663655522,-0.012941651114922365,0.015781857803602906,0.0031312720607401473
8,bull,-0.04148582776699344,-0.020094812602863103,0.014296627668264594,0.003233892959887054,0.0034898012727658653
9,bull,0.022199988940819135,0.015738457536211375,-0.0037046410572513693,0.002713971155993634,0.0006273716507121355
10,bull,-0.010608778237717095,-0.010511921852873855,-0.00013512287429628522,-0.005131744977405961,-0.004391409577474772
11,bull,0.016249308807744722,0.029924990847076807,-0.005662959325846425,-0.011300874114016151,0.00903855923064965
12,bull,-0.021918231849578848,-0.03080271251689372,0.010251109762406894,0.04350495536853835,-0.007674227131877039
13,bull,-0.005090969811909247,0.0024451171499563495,0.0019033596013751262,0.017652828939299963,0.003740831448015163
14,bull,-0.02377190778533925,-0.04630846864177502,0.013859481929081301,-0.02100924517294701,-0.003045425572297553
15,bull,0.014777605768486786,0.02783357913407072,-0.012970637701293423,-0.00016729397494497008,0.0040839233291263335
16,bull,0.015672765986652928,0.04113464418458434,-0.013086237666874563,-0.013520191842054602,0.0009810865352939389
17,bull,0.07426969671279265,0.0505891266073671,-0.00916313241018142,0.055772278806529546,0.020617636792871173
18,bull,0.005122017282073942,-0.0025195833859967165,-0.002718996374047926,0.0025719999160895707,0.004462837888174106
19,bull,-0.020613303718212597,-0.0022438050668133914,0.0021765557496380666,0.01240284459285336,-0.0027126757727367395
20,bull,0.02086298790472328,0.000847740918321677,0.003035853203352587,0.01007638026341893,0.006209212113982777
21,bull,0.04092816236279129,0.024857037006589595,-0.028216520911879307,0.03918266529166987,0.009239984598299455
22,bull,0.02836914968052799,0.03090535972282136,-0.014570487983756127,0.02032309827009992,0.004002711207782665
23,bull,-0.000873428114315726,-0.01563615376113827,0.021866166749314346,0.03501827761197242,-0.01728654292484949
24,bull,-0.032586225056719535,0.0022603113415156223,2.837049412154468e-05,-0.013832131840531045,-0.010530354919891788
25,bull,-0.031983755513890516,-0.019283604650181863,0.006238048544183425,0.026622882527459958,-0.011483096242467487
26,bull,-0.010100566183159259,-0.03353937671577283,-0.021475319970318124,0.0186033124703106,-0.006025920293290382
27,bull,-0.017048712557472766,-0.025863950662300246,0.007675298309909415,0.02284175409553053,0.0028891718813097407
28,bull,-0.03228439069112926,-0.015032630172026714,0.024589510396596882,-0.02228855608669561,-0.004928020082516623
29,bull,0.00399524714433262,-0.005073851241135866,0.013696908291405779,0.002663980258612084,0.002568607755390542
30,bull,-0.026140271542718894,-0.0014931736580775356,0.00029943495795062714,-0.005566380880889246,-0.005537545495958036
31,bull,0.0004966785669632198,0.028709090759377977,-0.01601420809837069,-0.012297732831399165,0.003152265659802763
32,bull,-0.05376556381902522,-0.027007567691650032,0.007660065535781416,0.060153837477473805,-0.012049707740240272
33,bull,-0.017074563704159648,-0.011469972628640707,0.017770710960616446,-0.013342372179630697,-0.007518442684770326
34,bull,0.017299323919597875,0.02852114586371566,-0.015838294232321318,0.07097004600509635,0.010621969144036339
35,bull,-0.022227979795301184,-0.014261711298718047,0.019396307500641252,0.008384969471429176,-0.0013708205571343775
36,bull,0.058799161471718125,0.041133759537289975,-0.014930575215064343,0.06862873582575246,0.012498942294204044
37,bull,-0.038917015407897805,-0.006756790019615997,-0.013612977619301242,-0.004468368177785204,-0.007875890194984784
38,bull,0.005766311229692131,-0.01879139140741527,0.0014151247739961463,0.005297702194229399,0.0035133721368211233
39,bull,-0.02263959147339658,-0.024244589065780146,-0.007527967774006394,-0.022438786024843706,0.0024198154579441935
40,bull,0.07497458091052771,0.04302523485938113,-0.027543030167264233,0.03005081916835725,0.013504724455208651
41,bull,-0.014675986268456525,-0.0006295370048155918,-0.0025111811366505584,0.01657667151458118,-0.0068434692760176745
42,bull,0.034388035757170796,0.020017158302605868,-0.018758202331423605,-0.0024364279282670684,0.0002772022533154301
43,bull,0.08334627112810741,0.03994937433579554,-0.036470704685582944,0.05983801826884836,0.02521001727785127
44,bull,-0.0012429641798585751,-0.020417696675129514,0.0067916304916862055,0.0019146427148987763,-0.005855503258992187
45,bull,0.0023735340422828535,0.007349197076573443,-0.008043350955779464,-0.014544172597139225,0.007151685124896502
46,bull,0.03578246134286739,0.013245192593753886,-0.027672802135359456,-0.014561137287499205,-0.00433458839154111
47,bull,0.013017620230229237,0.013744118304743673,0.006800577567208918,-0.006655164791313542,0.008980826528723574
